year,total_verdicts,avg_topic_confidence,std_topic_confidence
1949,2,0.472,0.183
1950,1,0.733,
1952,2,0.448,0.018
1953,2,0.516,0.008
1959,2,0.471,0.064
1962,1,0.434,
1964,1,0.391,
1966,23,0.448,0.089
1967,15,0.442,0.105
1968,29,0.459,0.13
1969,2,0.352,0.008
1970,7,0.472,0.118
1971,30,0.475,0.106
1972,23,0.445,0.116
1973,21,0.462,0.106
1974,20,0.441,0.128
1975,16,0.488,0.131
1976,50,0.482,0.135
1977,45,0.409,0.084
1978,55,0.46,0.131
1979,75,0.442,0.124
1980,77,0.411,0.118
1981,58,0.432,0.113
1982,97,0.484,0.132
1983,85,0.469,0.156
1984,66,0.456,0.174
1985,75,0.409,0.103
1986,87,0.443,0.138
1987,76,0.424,0.129
1988,71,0.443,0.141
1989,148,0.423,0.138
1990,100,0.441,0.141
1991,103,0.44,0.156
1992,41,0.452,0.183
1993,132,0.431,0.147
1994,149,0.435,0.137
1995,87,0.434,0.147
1996,109,0.441,0.168
1997,118,0.513,0.173
1998,103,0.453,0.154
1999,101,0.463,0.157
2000,201,0.451,0.143
2001,93,0.491,0.175
2002,137,0.473,0.165
2003,264,0.498,0.18
2004,344,0.516,0.18
2005,583,0.513,0.179
2006,435,0.533,0.203
2007,396,0.507,0.186
2008,412,0.497,0.173
2009,479,0.512,0.172
2010,499,0.484,0.167
2011,478,0.488,0.167
2012,428,0.49,0.169
2013,442,0.466,0.155
2014,363,0.486,0.169
2015,378,0.482,0.158
2016,685,0.473,0.159
2017,92,0.486,0.145
2018,502,0.494,0.159
2019,480,0.477,0.16
2020,546,0.468,0.148
2021,584,0.465,0.149
2022,495,0.468,0.163
2023,94,0.488,0.17
